age,m_mnh,m_fnh,m_ma,m_fa,m_mh,m_fh,f_nh,f_a,f_h,out_m,out_f,in_m(th.),in_f(th.)
0,2.3,2,6.8,6.4,2.3,2,0,0,0,1.34,1.36,0.157155467,0.145361533
1,0.1,0.1,0.5,0.4,0.1,0.1,0,0,0,1.34,1.36,0.628621867,0.581446133
5,0.1,0,0.2,0.2,0.1,0,0,0,0,1.1,1,0.785777333,0.726807667
10,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0,0.475,0.35,0.785777333,0.726807667
15,0.2,0.1,0.6,0.2,0.2,0.1,8.5,23.9,42.7,0,-0.3,0.702184,0.893838
20,0.4,0.2,0.8,0.2,0.4,0.2,59.4,169.3,179.7,1.875,1.05,1.203744,1.462644
25,0.4,0.1,0.7,0.4,0.4,0.1,148.8,216.5,277.3,1.625,1.375,1.304056,1.3543
30,0.5,0.3,0.8,0.4,0.5,0.3,186.3,158.5,348.4,1.475,1.475,1.304056,1.3543
35,0.5,0.3,0.9,0.7,0.5,0.3,94.1,82.7,375.7,1.2,1.025,0.7711485,0.826123
40,1.1,0.6,1.4,0.8,1.1,0.6,21.1,21.1,195.6,0.725,0.5,0.7711485,0.826123
45,1.6,1,2.6,1.6,1.6,1,6,1.5,0,0.45,0.375,0.6206805,0.650064
50,3.4,2,4.4,2.5,3.4,2,0,0,0,0.45,0.4,0.6206805,0.650064
55,5,2.9,8.1,3.8,5,2.9,0,0,0,0.7,0.65,0.5579855,0.7245505
60,8,4.5,12.9,6.6,8,4.5,0,0,0,0.475,0.575,0.564255,0.7245505
65,13.3,7.8,22.1,12.8,13.3,7.8,0,0,0,0.765,0.8925,0.585153333,0.632006667
70,21.6,12.9,34,23.4,21.6,12.9,0,0,0,0.765,0.8925,0.585153333,0.632006667
75,37.3,25,55.3,43.3,37.3,25,0,0,0,0.765,0.8925,0.585153333,0.632006667
80,66,50.1,83.1,78.8,66,50.1,0,0,0,0.765,0.8925,0,0
85,120.1,99.7,131.3,122.1,120.1,99.7,0,0,0,0.765,0.8925,0,0
90,203.6,174.1,183.8,166.7,203.6,174.1,0,0,0,0.765,0.8925,0,0
95,240.7,262.8,181.9,164.5,240.7,262.8,0,0,0,0.765,0.8925,0,0
